A_1,A_2,A_3,A_4,A_5,A_6,A_7
2.094,4.8127,4.1911,4.5539,4.1965,3.5627,A
2.0686,4.8021,4.1861,4.543,4.2042,3.5451,A
2.0846,4.8378,4.2004,4.5407,4.2325,3.523,A
2.0804,4.8437,4.1643,4.5394,4.2431,3.4906,A
2.0966,4.8585,4.2015,4.4911,4.2723,3.4895,A
2.1061,4.8601,4.1464,4.4212,4.2384,3.4972,A
2.0915,4.8607,4.1219,4.3986,4.207,3.5261,A
2.116,4.8285,4.0996,4.3929,4.1503,3.5166,A
2.1284,4.7972,4.0084,4.3138,4.0856,3.5538,A
2.0896,4.8268,3.9626,4.3321,4.0034,3.5832,A
2.0806,4.8241,3.9574,4.3123,4.0003,3.5882,A
2.0436,4.8497,3.9639,4.3156,4.0181,3.6103,A
2.0311,4.8772,3.9606,4.3313,4.0087,3.6042,A
2.0636,4.8574,3.9521,4.337,3.9713,3.6808,A
2.0617,4.875,3.8941,4.2676,3.9997,3.752,A
2.0443,4.8373,3.8679,4.2443,3.9951,3.7352,A
2.0691,4.8301,3.8611,4.1629,4.0066,3.7361,A
2.0392,4.8149,3.8742,4.1354,4.0111,3.7408,A
2.0169,4.6928,3.8261,4.1627,3.9874,3.7731,A
2.0162,4.6928,3.7532,4.1783,3.9461,3.7686,A
2.0145,4.624,3.752,4.1772,3.9731,3.7892,A
2.0192,4.6089,3.7564,4.1093,3.9515,3.7811,A
2.0407,4.5952,3.7484,4.0084,3.7984,3.7574,A
2.0268,4.4807,3.7547,4.0146,3.8018,3.75,A
2.0243,4.3958,3.7664,4.0221,3.8784,3.725,A
2.0198,4.3873,3.7574,4.0449,3.8951,3.7248,A
1.9927,4.3186,3.735,4.0234,3.9177,3.7292,A
1.9533,4.3107,3.7339,3.9901,3.9232,3.7246,A
1.9772,4.3398,3.6821,3.9931,3.9694,3.6946,A
1.9313,4.3332,3.6452,3.9724,3.9705,3.5951,A
1.9326,4.3339,3.7224,4.0321,3.9735,3.5642,A
1.9277,4.3347,3.7223,4.1101,3.9343,3.5755,A
1.9047,4.2941,3.657,4.1243,3.9334,3.5701,A
1.8994,4.3096,3.6286,4.1402,3.9227,3.623,A
1.8834,4.2963,3.5838,4.1456,3.9654,3.6508,A
1.9184,4.2687,3.5675,4.1419,3.9817,3.6693,A
1.9018,4.2548,3.5328,4.1935,3.9292,3.6806,A
1.8886,4.2932,3.7073,4.2263,3.9875,3.6836,A
1.917,4.3552,3.7846,4.2586,3.9733,3.6496,A
1.884,4.4292,3.7796,4.2915,3.9854,3.6641,A
1.8683,4.4333,3.7738,4.3227,3.9246,3.6746,A
1.8756,4.3858,3.7545,4.2917,3.9227,3.6714,A
1.891,4.3562,3.7395,4.2491,3.9199,3.6825,A
1.8826,4.3738,3.7615,4.2064,3.921,3.6798,A
1.8646,4.3493,3.768,4.1463,3.9212,3.679,A
1.8636,4.3076,3.8141,4.1401,3.9247,3.6599,A
1.8956,4.279,3.8032,4.1567,3.9388,3.6106,A
1.8966,4.264,3.9954,4.1506,4.0069,3.613,A
1.8529,4.2688,4.0648,4.1845,4.0686,3.5653,A
1.8402,4.2989,4.0935,4.1839,4.1508,3.5666,A
1.8623,4.285,4.1254,4.1604,4.2313,3.525,A
1.8673,4.2638,4.1941,4.1229,4.2509,3.5215,A
1.8489,4.2684,4.2777,4.1315,4.2322,3.4966,A
1.8277,4.2254,4.2787,4.1369,4.2438,3.5193,A
1.8289,4.2039,4.2754,4.1128,4.2315,3.5524,A
1.8587,4.2059,4.3122,4.1158,4.2884,3.536,A
1.8822,4.194,4.3111,4.1013,4.2852,3.5377,A
1.8905,4.2079,4.3091,4.1191,4.356,3.5371,A
1.9421,4.2125,4.2981,4.1747,4.3905,3.5413,A
1.9589,4.2863,4.2957,4.1723,4.4146,3.538,A
1.9324,4.2634,4.3493,4.1619,4.4373,3.5556,A
1.9271,4.2554,4.3471,4.2197,4.4716,3.6366,A
1.8956,4.2239,4.3807,4.1465,4.5127,3.6567,A
1.8888,4.2057,4.3995,4.1063,4.5702,3.7405,A
1.8846,4.2351,4.4401,4.1039,4.595,3.7091,A
1.8812,4.2883,4.4412,4.0828,4.6187,3.7094,A
1.9425,4.2623,4.4425,4.0806,4.5829,3.6875,A
1.9344,4.2583,4.4379,4.2271,4.5658,3.7335,A
1.9456,4.2405,4.4532,4.2632,4.5671,3.7487,A
1.9318,4.2308,4.4033,4.2219,4.5528,3.7655,A
1.9446,4.1844,4.3872,4.2248,4.5551,3.7871,A
1.9893,4.1247,4.4017,4.191,4.5638,3.8008,A
1.9859,4.1136,4.4128,4.198,4.5793,3.7707,A
1.982,4.0874,4.4376,4.2199,4.5931,3.7611,A
1.9669,4.1075,4.4673,4.3056,4.5897,3.7733,A
1.9799,3.992,4.4912,4.3834,4.582,3.7853,A
1.9589,3.9102,4.5035,4.4008,4.5742,3.783,A
1.9204,3.9427,4.4811,4.412,4.5906,3.7371,A
1.8954,3.9248,4.4985,4.4036,4.6059,3.7324,A
1.8881,3.9387,4.3929,4.4208,4.573,3.7336,A
1.8562,3.927,4.3813,4.4092,4.5276,3.7294,A
1.8335,3.8888,4.3677,4.4019,4.4554,3.7379,A
1.8023,3.8836,4.3513,4.4065,4.3791,3.741,A
1.793,3.8929,4.3132,4.423,4.362,3.7329,A
1.8082,3.8635,4.294,4.4221,4.352,3.7196,A
1.8153,3.8507,4.2898,4.4151,4.3214,3.6809,A
1.8315,3.8376,4.3097,4.4261,4.319,3.6564,A
1.8759,3.8676,4.2882,4.4339,4.2511,3.6305,A
1.8632,3.8912,4.2954,4.4629,4.1871,3.6012,A
1.8838,3.8796,4.2864,4.4377,4.1188,3.5907,A
1.8495,3.9094,4.286,4.4028,4.0747,3.5721,A
1.8373,3.8724,4.2877,4.4097,4.0314,3.5534,A
1.8398,3.9039,4.2409,4.4189,3.9785,3.5488,A
1.8961,3.9845,4.2758,4.4241,3.9881,3.4568,A
1.8992,4.0111,4.2057,4.4352,3.945,3.4221,A
1.8918,4.0783,4.1693,4.4336,3.8512,3.2922,A
1.922,4.0451,4.1134,4.4114,3.8051,3.2795,A
1.9958,3.9745,4.1463,4.4064,3.8238,3.1935,A
1.9302,4.004,4.1388,4.4678,3.8339,3.2008,A
1.8993,4.0917,4.1506,4.3602,3.8434,3.1222,A
1.8979,4.1323,4.0912,4.3177,3.9541,3.1895,A
1.8993,4.1102,4.0524,4.3188,3.964,3.1677,A
1.8963,4.0757,4.0211,4.293,3.9895,3.1354,A
1.8909,4.0578,4.0021,4.2901,3.9704,3.1427,A
1.8761,4.062,3.9825,4.2676,3.9463,3.1206,A
1.8953,4.0647,4.0016,4.2528,3.9135,3.1268,A
1.9154,4.1133,4.0247,4.1714,3.9283,3.173,A
1.9248,4.1339,3.9979,4.0393,3.9312,3.238,A
1.9494,4.1593,3.9768,4.0314,3.9397,3.2795,A
1.9589,4.1807,3.9658,4.0233,3.9041,3.2936,A
1.9522,4.2596,3.9075,4.035,3.8693,3.3299,A
2.0098,4.2622,3.9263,4.0019,3.9949,3.3804,A
2.0341,4.2684,3.863,4.052,4.0786,3.4105,A
2.0435,4.2668,3.8735,4.0353,4.1204,3.3727,A
2.0454,4.3246,3.8763,4.0547,4.2029,3.3925,A
2.0757,4.3691,3.8611,4.0137,4.2427,3.5708,A
2.0934,4.4485,3.9073,4.0958,4.4005,3.6186,A
2.0986,4.5105,3.9717,4.1397,4.4338,3.7127,A
2.0648,4.5358,4.1636,4.1713,4.4805,3.7434,A
2.0284,4.5223,4.1716,4.2361,4.5019,3.8192,A
2.0535,4.5067,4.1587,4.2159,4.5422,3.8624,A
2.0291,4.5334,4.1974,4.234,4.5496,3.8978,A
2.0345,4.5325,4.2078,4.256,4.5462,3.9028,A
2.0322,4.5331,4.3318,4.2557,4.5856,3.9369,A
2.0269,4.5112,4.3722,4.2664,4.6794,3.9517,A
1.9694,4.4829,4.3549,4.2615,4.6722,3.9827,A
2.0002,4.4896,4.391,4.3174,4.7401,3.9926,A
2.0204,4.4641,4.4592,4.2977,4.799,4.0253,A
2.0657,4.4715,4.529,4.3006,4.8039,4.0472,A
2.0391,4.488,4.5228,4.3122,4.7789,4.0457,A
2.0508,4.4585,4.5248,4.2305,4.7797,4.0453,A
2.054,4.4485,4.5224,4.2419,4.7737,4.0786,A
2.0721,4.4241,4.534,4.2149,4.7354,4.0448,A
2.0884,4.4297,4.5786,4.2299,4.7318,4.0478,A
2.0621,4.4451,4.5997,4.2223,4.7474,4.0495,A
2.0855,4.4745,4.6049,4.2147,4.7458,4.035,A
2.1129,4.4717,4.64,4.2063,4.7699,4.0245,A
2.1343,4.5507,4.6251,4.2319,4.7695,4.0131,A
2.1215,4.5307,4.5881,4.2269,4.8007,3.9838,A
2.1108,4.5588,4.5833,4.2235,4.8013,3.9542,A
2.1043,4.551,4.5947,4.2177,4.8189,3.9425,A
2.1479,4.5289,4.5973,4.198,4.8433,3.9476,A
2.2071,4.4899,4.6372,4.1915,4.8342,3.924,A
2.1812,4.5251,4.6519,4.203,4.786,3.9047,A
2.2134,4.5384,4.6912,4.1288,4.7403,3.8836,A
2.2174,4.5362,4.7463,4.1444,4.7337,3.8943,A
2.2205,4.4819,4.768,4.1278,4.7475,3.8625,A
2.1995,4.4265,4.7681,4.2086,4.7556,3.7334,A
2.1777,4.354,4.711,4.1859,4.6498,3.6931,A
2.1848,4.282,4.7141,4.1413,4.6313,3.5883,A
2.2214,4.2538,4.6203,4.102,4.6144,3.547,A
2.2192,4.2499,4.6087,3.996,4.5879,3.5247,A
2.189,4.25,4.6271,4.0143,4.54,3.5139,A
2.2096,4.2485,4.6048,4.0616,4.5085,3.4819,A
2.1891,4.3062,4.588,4.114,4.5057,3.4788,A
2.1648,4.305,4.4836,4.1311,4.4683,3.4931,A
2.1629,4.284,4.438,4.1122,4.3473,3.5974,A
2.175,4.3263,4.4528,4.0476,4.3247,3.5649,A
2.1845,4.3778,4.4266,3.9479,4.1897,3.5625,A
2.1802,4.434,4.4018,3.98,4.1201,3.4941,A
2.1243,4.4789,4.3854,4.001,4.1189,3.4857,A
2.0997,4.5479,4.3668,4.0138,4.1222,3.4955,A
2.0999,4.6005,4.3763,4.1512,4.1181,3.467,A
2.1138,4.6151,4.3808,4.2089,4.1145,3.3988,A
2.0907,4.6352,4.3729,4.2364,4.1532,3.395,A
2.1098,4.6329,4.3355,4.2867,4.143,3.4038,A
2.1543,4.6562,4.3653,4.4036,4.1017,3.4771,A
2.0956,4.6266,4.3812,4.4325,4.0964,3.5284,A
2.0764,4.6434,4.3559,4.4398,4.0861,3.5277,A
2.0357,4.575,4.3496,4.4192,4.0809,3.5267,A
2.0271,4.575,4.3433,4.4148,4.0413,3.5541,A
2.0516,4.5501,4.3177,4.4271,4.124,3.5655,A
2.0486,4.546,4.294,4.4291,4.1096,3.5975,A
2.0114,4.5433,4.2916,4.4549,4.0952,3.6063,A
1.9412,4.5226,4.2353,4.4561,4.0768,3.6645,A
1.9324,4.4786,4.1956,4.4487,4.0843,3.6729,A
1.8742,4.4601,4.1379,4.4646,4.0926,3.6804,A
1.8703,4.4623,4.0141,4.459,4.0846,3.6889,A
1.8976,4.4703,3.9886,4.4568,3.9565,3.6934,A
1.9101,4.476,3.9855,4.414,3.8851,3.6876,A
1.8944,4.5148,3.9982,4.3874,3.8716,3.6844,A
1.8673,4.5129,3.9718,4.4234,3.8506,3.6948,A
1.8443,4.5364,3.9082,4.4452,3.8211,3.6936,A
1.8544,4.5428,3.9379,4.4612,3.8458,3.64,A
1.8412,4.5445,3.9213,4.4873,3.9115,3.61,A
1.801,4.5639,3.916,4.4899,3.9237,3.6083,A
1.8231,4.5054,3.9352,4.4964,3.8993,3.6073,A
1.8904,4.4899,3.9545,4.4979,3.8872,3.58,A
1.9073,4.5066,4.028,4.5201,3.8467,3.4631,A
1.9381,4.4476,4.0512,4.537,3.8453,3.4677,A
1.9283,4.3992,4.0399,4.5417,3.8401,3.4699,A
1.9609,4.3168,3.9804,4.5146,3.7914,3.5048,A
1.9494,4.3069,3.9523,4.5233,3.7898,3.4862,A
1.9425,4.2346,4.0162,4.5124,3.7886,3.4868,A
1.9352,4.1376,4.0216,4.4625,3.7776,3.5546,A
1.9275,4.0582,4.0145,4.4279,3.7702,3.5808,A
1.9377,4.101,4.0101,4.4062,3.7357,3.845,A
1.9007,4.0974,3.9863,4.3643,3.7704,3.8721,A
1.835,4.0428,3.9504,4.3267,3.7647,3.9211,A
1.8292,4.0463,3.9428,4.3177,3.7656,3.9635,A
1.8219,4.0708,3.9095,4.3797,3.7188,3.9901,A
1.8175,4.1125,3.8838,4.39,3.7299,4.0725,A
1.8466,4.0829,3.9091,4.4063,3.7099,4.0671,A
1.877,4.0829,3.9121,4.393,3.6151,4.0781,A
1.8734,4.0907,3.9475,4.3973,3.5725,4.1134,A
1.8701,4.0827,3.9507,4.3943,3.5093,4.0993,A
1.8837,4.1018,3.9801,4.3795,3.5234,4.0993,A
1.8692,4.1158,3.9988,4.3773,3.4853,4.0965,A
1.9314,4.1137,3.9929,4.4096,3.4649,4.1348,A
1.9576,4.1096,4.0316,4.4579,3.4384,4.1536,A
1.9513,4.1205,4.0074,4.4553,3.4525,4.1905,A
1.9379,4.1493,4.084,4.4498,3.4518,4.214,A
1.9654,4.1281,4.0687,4.4362,3.5097,4.2228,A
1.9684,4.2142,4.097,4.4184,3.5298,4.2372,A
1.9384,4.1961,4.1328,4.4051,3.4973,4.2634,A
1.9421,4.2881,4.1087,4.4139,3.4688,4.2905,A
2.0209,4.3893,4.227,4.4337,3.369,4.3026,A
2.0379,4.3448,4.2478,4.4006,3.3514,4.3031,A
2.0127,4.3442,4.2405,4.3318,3.3776,4.3032,A
1.9649,4.3492,4.2414,4.304,3.5113,4.2858,A
1.9697,4.3359,4.185,4.2803,3.6003,4.2805,A
1.9306,4.3536,4.1444,4.3264,3.5992,4.2772,A
1.8953,4.3298,4.1439,4.3676,3.6187,4.2798,A
1.8946,4.3478,4.1763,4.4291,3.6252,4.2719,A
1.9217,4.2982,4.1415,4.395,3.5997,4.2741,A
1.9118,4.2351,4.0857,4.4028,3.6347,4.2677,A
1.952,4.2728,4.0769,4.3901,3.7168,4.2445,A
1.9723,4.2939,4.0716,4.4184,3.716,4.2285,A
1.9575,4.2343,4.1064,4.41,3.6906,4.0739,A
1.9621,4.2456,4.1109,4.4692,3.6301,4.0347,A
2.0252,4.245,4.1403,4.4527,3.6648,3.9497,A
2.0545,4.2789,4.1422,4.4482,3.6547,3.9224,A
2.098,4.284,4.1962,4.5837,3.6734,3.9989,A
2.0943,4.286,4.2218,4.6417,3.6769,3.9577,A
2.0751,4.3033,4.234,4.7304,3.7186,4.0061,A
2.0549,4.3315,4.2522,4.8589,3.6852,3.9915,A
2.0899,4.4111,4.257,4.8497,3.6777,3.9463,A
2.0912,4.4164,4.2674,4.8691,3.6692,4.0127,A
2.076,4.51,4.2487,4.9158,3.6688,4.0801,A
2.0793,4.5439,4.2288,4.9289,3.6563,4.1773,A
2.0185,4.5457,4.2193,4.9051,3.6631,4.146,A
2.0038,4.5449,4.1816,4.9166,3.6872,4.1434,A
2.0078,4.5492,4.2285,4.9383,3.6968,4.1369,A
2.0632,4.5475,4.2465,4.9269,3.7234,4.2082,A
2.0974,4.522,4.2708,4.93,3.7266,4.2458,A
2.0948,4.4716,4.2442,4.9544,3.7327,4.227,A
2.1126,4.5092,4.2219,4.9551,3.7934,4.2268,A
2.1042,4.4429,4.2152,4.9733,3.7913,4.2272,A
2.0371,4.3556,4.0839,4.9968,3.7946,4.2142,A
2.0316,4.3499,4.065,4.9917,3.8382,4.214,A
2.0576,4.35,4.0556,5.0401,3.8645,4.2337,A
2.0269,4.3237,4.1012,5.065,3.8736,4.2732,A
2.0057,4.3403,4.1855,5.0651,3.9046,4.3048,A
2.0038,4.3689,4.1677,5.0695,3.9357,4.3213,A
2.0112,4.3967,4.2176,5.0696,4.1297,4.3333,A
1.9689,4.3854,4.2656,5.0646,4.1417,4.3609,A
1.9422,4.4003,4.3362,5.0819,4.2026,4.3593,A
1.9653,4.4397,4.3421,5.1186,4.2081,4.3717,A
2.0321,4.4225,4.3628,5.114,4.2359,4.4079,A
2.0232,4.4235,4.3571,5.0912,4.2939,4.425,A
2.0704,4.4123,4.348,5.0861,4.2799,4.4205,A
2.0707,4.4064,4.344,5.0604,4.2946,4.4372,A
2.0072,4.4088,4.3861,5.0479,4.2698,4.4584,A
1.9768,4.4592,4.4134,5.0995,4.3046,4.4696,A
1.9231,4.4293,4.3792,5.0136,4.3003,4.4111,A
1.9051,4.394,4.3681,4.9806,4.3245,4.3898,A
1.9022,4.3792,4.3499,4.9304,4.3664,4.3379,A
1.8833,4.356,4.3341,4.8601,4.3948,4.3415,A
1.8508,4.2551,4.302,4.9247,4.4055,4.349,A
1.8705,4.2487,4.2844,4.937,4.4288,4.3034,A
1.9092,4.1273,4.2988,4.8995,4.4286,4.2311,A
1.9524,4.1411,4.3183,4.922,4.4722,4.1274,A
1.9609,4.1634,4.3433,4.9193,4.4689,4.1199,A
1.9578,4.1931,4.4242,4.8766,4.5195,4.0937,A
1.9548,4.1809,4.4109,4.8579,4.5242,4.074,A
1.9174,4.2288,4.3419,4.9093,4.5298,3.9674,A
1.8872,4.2852,4.3829,4.9166,4.5571,3.9284,A
1.9121,4.3177,4.4289,4.8917,4.5676,3.9821,A
1.9081,4.2819,4.4711,4.8805,4.5682,3.9683,A
1.8912,4.2603,4.4695,4.8464,4.618,4.1201,A
1.9461,4.2542,4.48,4.7642,4.6279,4.1915,A
1.9669,4.3016,4.5087,4.7914,4.6405,4.322,A
1.9557,4.3545,4.5152,4.7727,4.6359,4.3365,A
1.9779,4.4724,4.5039,4.7864,4.6216,4.3866,A
1.9784,4.4716,4.4978,4.7952,4.6838,4.4012,A
1.9705,4.5009,4.4992,4.7511,4.6748,4.4008,A
1.9929,4.4959,4.4822,4.8244,4.634,4.3886,A
2.0075,4.5321,4.421,4.8261,4.6324,4.5448,A
2.0146,4.6755,4.345,4.8092,4.7294,4.6173,A
2.0625,4.7675,4.3365,4.7779,4.7493,4.642,A
2.0099,4.8425,4.3414,4.7879,4.7177,4.6899,A
1.9889,4.8272,4.35,4.8254,4.6844,4.6806,A
1.9367,4.8262,4.4009,4.8333,4.7218,4.6745,A
1.9466,4.8512,4.4149,4.8181,4.7253,4.6715,A
1.9838,4.8488,4.3165,4.8295,4.7225,4.6527,A
2.0099,4.7895,4.3423,4.7913,4.7132,4.6166,A
2.0235,4.787,4.442,4.7756,4.7273,4.6194,A
2.037,4.7915,4.499,4.7544,4.7035,4.6126,A
2.0964,4.7899,4.5229,4.7183,4.6678,4.6114,A
2.1005,4.7778,4.5473,4.6735,4.6469,4.592,A
2.1129,4.7938,4.5511,4.595,4.6564,4.5745,A
2.1039,4.8481,4.5742,4.533,4.6544,4.589,A
2.1156,4.8453,4.5983,4.5329,4.6553,4.5832,A
2.1498,4.8376,4.6038,4.4815,4.661,4.6001,A
2.3199,4.8366,4.5972,4.4836,4.6677,4.6006,A
2.3365,4.8212,4.5301,4.4789,4.6294,4.6042,A
2.3162,4.8175,4.5082,4.4896,4.6162,4.6057,A
2.3174,4.7789,4.5296,4.4674,4.607,4.6046,A
2.3008,4.7436,4.4771,4.491,4.57,4.5935,A
2.3402,4.7245,4.3961,4.481,4.559,4.5665,A
2.3461,4.7178,4.3597,4.4909,4.5311,4.5582,A
2.3529,4.7228,4.3635,4.5196,4.4811,4.4376,A
2.3693,4.7223,4.3413,4.5191,4.4834,4.3779,A
2.3908,4.6897,4.3026,4.4861,4.4499,4.2532,A
2.385,4.6555,4.3001,4.426,4.4437,4.2166,A
2.3781,4.5691,4.2597,4.4006,4.406,4.1185,A
2.3754,4.5801,4.2019,4.4951,4.2576,4.0778,A
2.3722,4.5211,4.1916,4.4923,4.2394,4.0684,A
2.3618,4.5062,4.1549,4.3423,4.1507,4.0563,A
2.3506,4.4739,4.1673,4.2944,4.1675,3.7276,A
2.3541,4.3622,4.1853,4.2837,3.9664,3.5283,A
2.3728,4.2141,4.1912,4.2371,3.8844,3.4226,A
2.3672,4.064,4.2013,4.2024,3.8542,3.1057,A
2.3821,4.0863,4.1991,4.1634,3.8417,3.1292,A
2.3899,4.0933,4.1636,4.1871,3.7684,3.1204,A
2.3829,4.0373,4.1917,4.215,3.7329,3.1629,A
2.3909,4.0357,4.1932,4.1511,3.7312,3.2461,A
2.4057,4.0345,4.1205,4.0706,3.6926,3.282,A
2.4151,4.0554,3.971,4.0154,3.6298,3.2815,A
2.42,4.0497,3.8655,4.0383,3.6246,3.2883,A
2.3818,4.1224,3.8198,4.0501,3.5656,3.3704,A
2.3638,4.1322,3.7743,4.049,3.5629,3.3771,A
2.3668,4.0924,3.7771,4.0403,3.649,3.4139,A
2.3762,3.9706,3.7643,4.039,3.6729,3.4088,A
2.3771,3.979,3.6822,4.105,3.7354,3.3823,A
2.3332,3.9636,3.7114,4.1973,3.6645,3.3255,A
2.1532,3.9355,3.6919,4.2106,3.6983,3.3161,A
2.1381,3.9411,3.7798,4.2915,3.6761,3.3025,A
2.1469,3.9284,3.7812,4.2987,3.6941,3.277,A
2.1273,3.9425,3.768,4.2666,3.7435,3.3228,A
2.1749,3.9595,3.7668,4.258,3.7613,3.3434,A
2.1497,4.0209,3.7909,4.2842,3.7405,3.372,A
2.1355,4.0795,3.8108,4.2892,3.7575,3.4467,A
2.1228,4.1263,3.8161,4.2745,3.8086,3.498,A
2.0492,4.1323,3.8319,4.2932,3.8153,3.5977,A
2.0032,4.145,3.8701,4.2919,3.8024,3.6701,A
2.063,4.1415,3.8695,4.3423,3.8066,3.726,A
2.1053,4.1152,3.8904,4.3461,3.9159,3.7668,A
2.1669,4.1182,3.8842,4.2265,3.9308,3.7363,A
2.1799,4.1647,3.9026,4.231,3.9208,3.7131,A
2.1755,4.1657,3.9479,4.2326,3.8992,3.7588,A
2.1741,4.1932,3.969,4.2173,3.8958,3.8504,A
2.1788,4.1177,3.9746,4.2402,3.8546,3.8526,A
2.1079,4.0793,3.9719,4.2714,3.8791,3.8776,A
2.0773,4.0723,3.9206,4.2924,3.8949,3.9129,A
2.0727,4.0367,3.9215,4.2612,3.9149,3.8822,A
2.0776,4.0538,3.8794,4.245,3.9116,3.8831,A
2.0699,4.0381,3.8328,4.2172,3.9156,3.8374,A
2.0368,4.0413,3.842,4.22,3.9225,3.7835,A
1.991,4.0594,3.8189,4.2279,3.9359,3.7763,A
1.9745,4.0316,3.8187,4.2979,3.9358,3.7925,A
2.0108,4.0369,3.8153,4.3048,3.9584,3.8485,A
2.0021,3.9762,3.8254,4.4042,3.9571,3.8185,A
2.0186,4.0661,3.8317,4.4458,3.9575,3.8331,A
2.0227,4.1215,3.8204,4.479,3.8657,3.8164,A
2.0243,4.1767,3.7924,4.4909,3.8523,3.8705,A
2.0066,4.1902,3.799,4.4377,3.8808,3.9126,A
1.9986,4.1896,3.7768,4.3548,3.8891,3.9289,A
2.038,4.1981,3.7637,4.3387,3.8857,3.9324,A
2.0399,4.2187,3.6565,4.3038,3.8992,3.9295,A
2.0844,4.2565,3.6427,4.2872,3.8902,3.9458,A
2.1141,4.4039,3.6142,4.2797,3.8339,3.933,A
2.0839,4.4219,3.6068,4.306,3.8104,3.9182,A
2.0691,4.437,3.5768,4.2911,3.8172,3.9214,A
2.0619,4.3951,3.5139,4.3748,3.8013,3.9127,A
2.0609,4.4125,3.555,4.3635,3.7583,3.8765,A
2.0598,4.4331,3.7241,4.3656,3.7181,3.8389,A
2.052,4.4932,3.7274,4.3869,3.7333,3.7882,A
2.0276,4.5087,3.7287,4.3394,3.7043,3.7812,A
1.9816,4.5992,3.7507,4.294,3.5887,3.7895,A
1.9009,4.6092,3.7871,4.3487,3.6043,3.7985,A
1.8989,4.5907,3.8283,4.35,3.6202,3.8035,A
1.93,4.5955,3.7713,4.3495,3.6504,3.7617,A
1.9384,4.6062,3.7828,4.3697,3.7197,3.6821,A
1.9689,4.6253,3.7494,4.3598,3.749,3.7066,A
1.9529,4.6404,3.7541,4.3563,3.7487,3.7275,A
1.9385,4.6445,3.779,4.3436,3.7189,3.6864,A
1.999,4.643,3.7725,4.4154,3.6961,3.6913,A
2.0137,4.6435,3.7875,4.4649,3.6902,3.6818,A
2.0147,4.6689,3.7915,4.4813,3.7418,3.6919,A
2.099,4.6692,3.8119,4.4834,3.7431,3.732,A
2.1123,4.6588,3.8659,4.477,3.8351,3.7509,A
2.1858,4.6542,3.8761,4.4265,3.8901,3.7197,A
2.1845,4.6625,3.9175,4.4168,3.9291,3.6682,A
2.1799,4.6637,3.9011,4.3138,3.9245,3.6815,A
2.1828,4.6166,3.9454,4.2677,3.9264,3.7453,A
2.1728,4.5887,3.9611,4.2285,3.9219,3.733,A
2.1677,4.587,3.9625,4.2412,3.9136,3.6342,A
2.1457,4.5876,3.9589,4.2944,3.8257,3.5792,A
2.1306,4.5577,3.9186,4.3304,3.8087,3.5698,A
2.0967,4.5508,3.9236,4.3514,3.7681,3.5902,A
2.0814,4.533,3.943,4.3437,3.7552,3.5975,A
2.0284,4.5277,3.9474,4.3415,3.7456,3.5663,A
2.0036,4.4279,3.9863,4.3145,3.7483,3.6155,A
2.007,4.427,4.0387,4.2681,3.738,3.649,A
1.9746,4.3622,4.0803,4.2603,3.7434,3.619,A
1.9775,4.3495,4.1069,4.1485,3.7558,3.6012,A
